"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "Python", "HTML", "XML", "comment", "blank", "total"
"d:\life\code\moyu\.trae\documents\page-top-reserve-plan.md", "Markdown", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 203
"d:\life\code\moyu\.trae\documents\pet-fusion-select-modal-optimization.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 82
"d:\life\code\moyu\.trae\documents\pet-institute-optimization-plan.md", "Markdown", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 183
"d:\life\code\moyu\.trae\documents\pk_match_optimization_plan.md", "Markdown", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 204
"d:\life\code\moyu\.trae\documents\plan_20260315_060830.md", "Markdown", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\life\code\moyu\.trae\documents\plan_20260315_062105.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 37
"d:\life\code\moyu\.trae\documents\refactor_equipment_combat_power.md", "Markdown", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 121
"d:\life\code\moyu\.trae\documents\remove-critical-and-optimize-skill-damage.md", "Markdown", 0, 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 347
"d:\life\code\moyu\.trae\documents\save_data_audit_plan.md", "Markdown", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 144
"d:\life\code\moyu\.trae\documents\unify-clothes-armor-naming.md", "Markdown", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 91
"d:\life\code\moyu\.trae\documents\unify-mp-and-stamina-plan.md", "Markdown", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 217
"d:\life\code\moyu\.trae\documents\zhanhun-maze-plan.md", "Markdown", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 118
"d:\life\code\moyu\.trae\documents\修复主角战斗力属性undefined问题.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 70
"d:\life\code\moyu\.trae\documents\修改怪物攻击力定义计划.md", "Markdown", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 199
"d:\life\code\moyu\.trae\documents\升级所需经验优化计划.md", "Markdown", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 267
"d:\life\code\moyu\.trae\documents\幸运值系统实现计划.md", "Markdown", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 262
"d:\life\code\moyu\.trae\documents\幻兽升级逻辑重构计划.md", "Markdown", 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 293
"d:\life\code\moyu\.trae\documents\幻兽图标替换为头像显示计划.md", "Markdown", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 107
"d:\life\code\moyu\.trae\documents\战斗系统修复计划.md", "Markdown", 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 444
"d:\life\code\moyu\.trae\documents\战斗页面点击查看详情功能实现计划.md", "Markdown", 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 207
"d:\life\code\moyu\.trae\documents\技能书学习系统实现计划.md", "Markdown", 0, 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 363
"d:\life\code\moyu\.trae\documents\抽奖区装备品质提升计划.md", "Markdown", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 47
"d:\life\code\moyu\.trae\documents\日常任务和人物获得经验时给战中幻兽增加相同经验.md", "Markdown", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 248
"d:\life\code\moyu\.trae\documents\物品数据对比报告.md", "Markdown", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 193
"d:\life\code\moyu\.trae\documents\物品模块统一化重构完成报告.md", "Markdown", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 130
"d:\life\code\moyu\.trae\documents\物品模块统一化重构计划.md", "Markdown", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 161
"d:\life\code\moyu\.trae\documents\物品系统重构计划.md", "Markdown", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 234
"d:\life\code\moyu\.trae\documents\经验导师NPC实现计划.md", "Markdown", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 152
"d:\life\code\moyu\.trae\documents\背包分类功能实现计划.md", "Markdown", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 111
"d:\life\code\moyu\.trae\documents\装备图片关联计划.md", "Markdown", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 132
"d:\life\code\moyu\.trae\documents\装备等级修复计划-110级调整为125级.md", "Markdown", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 180
"d:\life\code\moyu\.trae\documents\装备精炼镶嵌宝石修复计划.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"d:\life\code\moyu\.trae\documents\装备精炼限制规则修改计划.md", "Markdown", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 238
"d:\life\code\moyu\.trae\documents\魔域游戏项目实现计划.md", "Markdown", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 75
"d:\life\code\moyu\.trae\skills\monster-attributes\SKILL.md", "Markdown", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 124
"d:\life\code\moyu\.trae\specs\add-cover-page\checklist.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\life\code\moyu\.trae\specs\add-cover-page\spec.md", "Markdown", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 97
"d:\life\code\moyu\.trae\specs\add-cover-page\tasks.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\life\code\moyu\.trae\specs\add-dungeon-locations\checklist.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\life\code\moyu\.trae\specs\add-dungeon-locations\spec.md", "Markdown", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 186
"d:\life\code\moyu\.trae\specs\add-dungeon-locations\tasks.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"d:\life\code\moyu\.trae\specs\add-equipment-refiner\checklist.md", "Markdown", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 119
"d:\life\code\moyu\.trae\specs\add-equipment-refiner\spec.md", "Markdown", 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 269
"d:\life\code\moyu\.trae\specs\add-equipment-refiner\tasks.md", "Markdown", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 154
"d:\life\code\moyu\.trae\specs\add-lottery-system\checklist.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 63
"d:\life\code\moyu\.trae\specs\add-lottery-system\spec.md", "Markdown", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 205
"d:\life\code\moyu\.trae\specs\add-lottery-system\tasks.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 83
"d:\life\code\moyu\.trae\specs\add-monster-system\checklist.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"d:\life\code\moyu\.trae\specs\add-monster-system\spec.md", "Markdown", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 152
"d:\life\code\moyu\.trae\specs\add-monster-system\tasks.md", "Markdown", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 58
"d:\life\code\moyu\.trae\specs\add-npc-characters\checklist.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 82
"d:\life\code\moyu\.trae\specs\add-npc-characters\spec.md", "Markdown", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 170
"d:\life\code\moyu\.trae\specs\add-npc-characters\tasks.md", "Markdown", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 95
"d:\life\code\moyu\.trae\specs\add-pet-fusion-system\checklist.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\life\code\moyu\.trae\specs\add-pet-fusion-system\spec.md", "Markdown", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 222
"d:\life\code\moyu\.trae\specs\add-pet-fusion-system\tasks.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 80
"d:\life\code\moyu\.trae\specs\add-pet-system\checklist.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\life\code\moyu\.trae\specs\add-pet-system\spec.md", "Markdown", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 107
"d:\life\code\moyu\.trae\specs\add-pet-system\tasks.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"d:\life\code\moyu\.trae\specs\add-shop-system\checklist.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 104
"d:\life\code\moyu\.trae\specs\add-shop-system\spec.md", "Markdown", 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 265
"d:\life\code\moyu\.trae\specs\add-shop-system\tasks.md", "Markdown", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 128
"d:\life\code\moyu\.trae\specs\add-time-system\checklist.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\life\code\moyu\.trae\specs\add-time-system\spec.md", "Markdown", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 81
"d:\life\code\moyu\.trae\specs\add-time-system\tasks.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\life\code\moyu\.trae\specs\add-war-soul-set-icon\checklist.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"d:\life\code\moyu\.trae\specs\add-war-soul-set-icon\spec.md", "Markdown", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 104
"d:\life\code\moyu\.trae\specs\add-war-soul-set-icon\tasks.md", "Markdown", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53
"d:\life\code\moyu\.trae\specs\auto-pathfinding\checklist.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\life\code\moyu\.trae\specs\auto-pathfinding\spec.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 83
"d:\life\code\moyu\.trae\specs\auto-pathfinding\tasks.md", "Markdown", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"d:\life\code\moyu\.trae\specs\battle-system\checklist.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\life\code\moyu\.trae\specs\battle-system\spec.md", "Markdown", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 241
"d:\life\code\moyu\.trae\specs\battle-system\tasks.md", "Markdown", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 185
"d:\life\code\moyu\.trae\specs\build-save-system\checklist.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\life\code\moyu\.trae\specs\build-save-system\spec.md", "Markdown", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 109
"d:\life\code\moyu\.trae\specs\build-save-system\tasks.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\life\code\moyu\.trae\specs\character-info-page\checklist.md", "Markdown", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 113
"d:\life\code\moyu\.trae\specs\character-info-page\spec.md", "Markdown", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 145
"d:\life\code\moyu\.trae\specs\character-info-page\tasks.md", "Markdown", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 167
"d:\life\code\moyu\.trae\specs\enable-war-soul-system\checklist.md", "Markdown", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 73
"d:\life\code\moyu\.trae\specs\enable-war-soul-system\spec.md", "Markdown", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 187
"d:\life\code\moyu\.trae\specs\enable-war-soul-system\tasks.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 107
"d:\life\code\moyu\.trae\specs\fix-daily-init-duplicate\checklist.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\life\code\moyu\.trae\specs\fix-daily-init-duplicate\spec.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 36
"d:\life\code\moyu\.trae\specs\fix-daily-init-duplicate\tasks.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\life\code\moyu\.trae\specs\integrate-pet-battle\checklist.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"d:\life\code\moyu\.trae\specs\integrate-pet-battle\spec.md", "Markdown", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 112
"d:\life\code\moyu\.trae\specs\integrate-pet-battle\tasks.md", "Markdown", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"d:\life\code\moyu\.trae\specs\interaction-system\checklist.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"d:\life\code\moyu\.trae\specs\interaction-system\spec.md", "Markdown", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 110
"d:\life\code\moyu\.trae\specs\interaction-system\tasks.md", "Markdown", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 69
"d:\life\code\moyu\.trae\specs\inventory-page\checklist.md", "Markdown", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 70
"d:\life\code\moyu\.trae\specs\inventory-page\spec.md", "Markdown", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 82
"d:\life\code\moyu\.trae\specs\inventory-page\tasks.md", "Markdown", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 62
"d:\life\code\moyu\.trae\specs\optimize-battle-integration\checklist.md", "Markdown", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 82
"d:\life\code\moyu\.trae\specs\optimize-battle-integration\spec.md", "Markdown", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 130
"d:\life\code\moyu\.trae\specs\optimize-battle-integration\tasks.md", "Markdown", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 173
"d:\life\code\moyu\.trae\specs\optimize-character-equipment-system\checklist.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"d:\life\code\moyu\.trae\specs\optimize-character-equipment-system\spec.md", "Markdown", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 158
"d:\life\code\moyu\.trae\specs\optimize-character-equipment-system\tasks.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"d:\life\code\moyu\.trae\specs\optimize-king-system\checklist.md", "Markdown", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 55
"d:\life\code\moyu\.trae\specs\optimize-king-system\spec.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 118
"d:\life\code\moyu\.trae\specs\optimize-king-system\tasks.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"d:\life\code\moyu\.trae\specs\optimize-map-challenge\checklist.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 64
"d:\life\code\moyu\.trae\specs\optimize-map-challenge\spec.md", "Markdown", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 136
"d:\life\code\moyu\.trae\specs\optimize-map-challenge\tasks.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 44
"d:\life\code\moyu\.trae\specs\optimize-pet-institute\checklist.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\life\code\moyu\.trae\specs\optimize-pet-institute\spec.md", "Markdown", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 63
"d:\life\code\moyu\.trae\specs\optimize-pet-institute\tasks.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"d:\life\code\moyu\.trae\specs\optimize-princess-npc\checklist.md", "Markdown", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 60
"d:\life\code\moyu\.trae\specs\optimize-princess-npc\spec.md", "Markdown", 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 258
"d:\life\code\moyu\.trae\specs\optimize-princess-npc\tasks.md", "Markdown", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"d:\life\code\moyu\.trae\specs\optimize-war-soul-equipment\checklist.md", "Markdown", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"d:\life\code\moyu\.trae\specs\optimize-war-soul-equipment\spec.md", "Markdown", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 111
"d:\life\code\moyu\.trae\specs\optimize-war-soul-equipment\tasks.md", "Markdown", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 62
"d:\life\code\moyu\.trae\specs\refactor-components\checklist.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 69
"d:\life\code\moyu\.trae\specs\refactor-components\spec.md", "Markdown", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 81
"d:\life\code\moyu\.trae\specs\refactor-components\tasks.md", "Markdown", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 80
"d:\life\code\moyu\.trae\specs\refactor-local-map-no-svg\checklist.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\life\code\moyu\.trae\specs\refactor-local-map-no-svg\spec.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 69
"d:\life\code\moyu\.trae\specs\refactor-local-map-no-svg\tasks.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\life\code\moyu\.trae\specs\refactor-pet-system\checklist.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64
"d:\life\code\moyu\.trae\specs\refactor-pet-system\spec.md", "Markdown", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 114
"d:\life\code\moyu\.trae\specs\refactor-pet-system\tasks.md", "Markdown", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 59
"d:\life\code\moyu\.trae\specs\update-collector-npc\checklist.md", "Markdown", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 99
"d:\life\code\moyu\.trae\specs\update-collector-npc\spec.md", "Markdown", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 179
"d:\life\code\moyu\.trae\specs\update-collector-npc\tasks.md", "Markdown", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 79
"d:\life\code\moyu\.trae\specs\update-explorer-npc\checklist.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\life\code\moyu\.trae\specs\update-explorer-npc\spec.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 54
"d:\life\code\moyu\.trae\specs\update-explorer-npc\tasks.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\life\code\moyu\.trae\specs\world-map-system\checklist.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\life\code\moyu\.trae\specs\world-map-system\spec.md", "Markdown", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 193
"d:\life\code\moyu\.trae\specs\world-map-system\tasks.md", "Markdown", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 134
"d:\life\code\moyu\AGENTS.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19
"d:\life\code\moyu\README.md", "Markdown", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 76
"d:\life\code\moyu\enhance_equipment_images_v2.py", "Python", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 17, 29, 121
"d:\life\code\moyu\enhance_images.py", "Python", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 23, 34, 185
"d:\life\code\moyu\eslint.config.js", "JavaScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 42, 37, 157
"d:\life\code\moyu\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 1, 1, 33
"d:\life\code\moyu\package-lock.json", "JSON", 6016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6017
"d:\life\code\moyu\package.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"d:\life\code\moyu\process_equipment_images.py", "Python", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 16, 28, 113
"d:\life\code\moyu\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\life\code\moyu\public\fonts\lxgwwenkai-local.css", "CSS", 0, 0, 0, 0, 0, 0, 776, 0, 0, 0, 97, 1, 874
"d:\life\code\moyu\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 25
"d:\life\code\moyu\restore_equipment_images.py", "Python", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 6, 17, 61
"d:\life\code\moyu\scripts\compressImages.mjs", "JavaScript", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 37, 37, 207
"d:\life\code\moyu\scripts\enhanceImages.mjs", "JavaScript", 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 63, 53, 323
"d:\life\code\moyu\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 15, 17, 122
"d:\life\code\moyu\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3049, 0, 0, 0, 0, 1053, 561, 4663
